country,PD_deficit,totalN,backbone_tree,genus_level,family_level,order_level
Martinique,0.35,423,330,73,20,0
Bermuda,0.38,421,319,71,26,5
Tuamotu Is.,0.40,420,323,72,24,1
Marquesas Is.,0.50,416,287,101,28,0
Galapagos Is.,0.57,406,243,130,28,5
Anguilla,0.35,404,316,68,20,0
Guadeloupe,0.36,403,311,72,20,0
Montserrat,0.33,377,302,57,18,0
Pitcairn,0.48,374,266,92,16,0
Socotra Arch.,0.38,373,291,69,12,1
Bolivia,0.67,373,172,162,37,2
Algeria,0.32,368,295,54,18,1
Zambia,0.71,362,220,95,47,0
Djibouti,0.40,358,277,66,15,0
West Sahara,0.39,355,249,78,26,2
Turks Caicos Is.,0.34,354,276,57,21,0
Albania,0.31,340,270,58,11,1
Croatia,0.33,332,262,55,14,1
Slovenia,0.29,326,272,43,10,1
Azores Is.,0.47,321,214,74,26,7
Eritrea,0.52,320,208,99,12,1
UK,0.27,319,263,43,12,1
Ireland,0.34,318,245,51,20,2
Tahiti,0.36,317,255,49,12,1
Mayotte,0.31,315,259,46,8,2
Sao Tome Princ.,0.55,308,185,93,29,1
Timor-Leste,0.41,301,227,60,14,0
Syria,0.34,300,227,66,6,1
Malawi,0.80,295,102,159,34,0
Norfolk I.,0.46,283,195,68,20,0
Bosnia Herzegov.,0.32,276,224,41,10,1
Gibraltar,0.34,272,212,42,17,1
Iraq,0.45,268,182,70,16,0
Tunisia,0.33,265,211,43,10,1
Montenegro,0.34,263,202,47,13,1
Korea (North),0.37,260,197,54,9,0
Uganda,0.88,252,61,171,20,0
Malta,0.27,250,208,33,8,1
Iceland,0.34,246,193,32,15,6
Paraguay,0.54,246,143,89,14,0
Norway,0.24,237,200,29,8,0
Greenland,0.43,235,176,32,21,6
Burundi,0.59,232,158,56,18,0
Caroline I.,0.39,231,178,46,7,0
Lebanon,0.32,229,184,39,5,1
Niue,0.26,220,194,22,3,1
Monaco,0.35,217,169,36,11,1
Ukraine,0.32,215,168,43,4,0
Wake I.,0.36,208,166,31,11,0
Libya,0.25,202,171,23,7,1
Bulgaria,0.32,198,161,33,4,0
Sweden,0.16,195,172,20,3,0
Antarctica,0.65,188,109,61,18,0
Germany,0.22,187,160,24,3,0
Cyprus,0.26,187,158,23,5,1
Kermadec Is.,0.49,185,117,52,12,4
Wallis Futuna,0.35,183,144,35,4,0
Central Afr. Rp,0.67,182,102,52,28,0
Nepal,0.50,179,116,50,13,0
Kuril Is.,0.60,179,101,51,26,1
Denmark,0.17,173,157,12,4,0
Romania,0.32,172,139,30,3,0
Tuvalu,0.37,172,140,27,5,0
Johnston I.,0.44,167,119,45,3,0
Netherlands,0.16,158,145,11,2,0
St Helena,0.51,152,100,41,9,2
Ascension I.,0.46,151,106,34,11,0
Easter I.,0.57,149,83,50,16,0
Neth Antilles,0.32,147,126,18,3,0
Cargados Carajos,0.43,146,97,39,9,1
Isle of Man,0.22,139,120,15,4,0
Rodriguez,0.37,139,104,31,4,0
Belgium,0.17,138,126,10,2,0
Mali,0.61,138,82,31,25,0
Admiralty Is.,0.43,136,101,27,8,0
Chad,0.62,136,76,33,27,0
Zimbabwe,0.74,124,56,35,33,0
Georgia,0.33,123,96,26,1,0
Ethiopia,0.65,120,65,38,17,0
Juan Fernández,0.54,118,65,41,11,1
Burkina Faso,0.56,118,69,27,22,0
Tokelau,0.24,110,95,15,0,0
Poland,0.14,109,100,8,1,0
Afghanistan,0.53,108,56,41,11,0
UK Scotland,0.26,107,86,14,7,0
Niger,0.56,106,64,20,22,0
US Minor Is.,0.29,104,84,19,1,0
Cocos I. (C.R.),0.59,104,56,42,5,1
UK Engld Wal,0.24,98,79,15,4,0
Kerguelen Is.,0.45,98,68,24,6,0
Macau,0.46,97,72,21,4,0
Faeroe Is.,0.25,94,80,10,4,0
Kazakhstan,0.62,90,55,30,5,0
Latvia,0.01,82,81,1,0,0
Lithuania,0.02,82,80,2,0,0
Finland,0.11,82,74,8,0,0
Trind. M.Vaz Is.,0.25,81,70,8,3,0
Azerbaijan,0.53,81,50,25,6,0
Botswana,0.80,80,37,21,22,0
UK No Ireld,0.23,77,64,8,5,0
Channel Is.,0.23,77,63,8,5,1
Nauru,0.24,76,64,12,0,0
Revillagigedo,0.46,76,52,24,0,0
Falkland Is.,0.42,75,52,13,9,1
Serbia,0.16,73,68,5,0,0
Mongolia,0.45,72,47,21,4,0
Austria,0.17,69,58,11,0,0
Midway Is.,0.35,65,46,19,0,0
Estonia,0.10,64,61,3,0,0
Rwanda,0.84,64,16,35,13,0
Slovakia,0.05,62,60,2,0,0
Crozet Is.,0.40,62,44,11,6,1
Switzerland,0.20,59,47,11,1,0
South Shetland,0.49,58,43,10,5,0
Hungary,0.02,57,56,1,0,0
South Orkney Is.,0.42,57,46,7,4,0
Moldova,0.09,55,52,3,0,0
Czechia,0.00,53,53,0,0,0
Svalbard,0.29,52,45,7,0,0
St Paul's Rocks,0.32,52,42,8,2,0
North Macedonia,0.46,52,36,15,1,0
Turkmenistan,0.57,49,27,12,10,0
Uzbekistan,0.59,49,32,12,5,0
S. Georg. Sandw.,0.26,48,38,8,2,0
Swaziland,0.64,48,21,14,13,0
Bhutan,0.33,43,32,11,0,0
Armenia,0.25,42,33,9,0,0
Desventuradas Is,0.70,41,15,21,4,1
Clipperton I.,0.37,39,30,9,0,0
Belarus,0.04,35,34,1,0,0
Br Indian Oc Tr,0.28,33,30,2,1,0
Amsterdam I.,0.52,33,21,8,4,0
St Paul I.,0.53,32,20,8,4,0
Tristan da Cunha,0.54,28,18,8,2,0
Heard McDon Is.,0.00,26,26,0,0,0
Pac Is Trust Tr,0.25,26,23,3,0,0
Kyrgyzstan,0.84,19,6,12,1,0
Terre Adélie,0.29,16,15,0,1,0
Macquarie Is.,0.30,15,11,2,2,0
South Sudan,0.33,15,11,3,1,0
Bouvet I.,0.13,13,12,0,1,0
Luxembourg,0.09,12,11,1,0,0
Prince Edward Is,0.27,12,10,1,0,1
Liechtenstein,0.00,11,11,0,0,0
Elephant I.,0.00,10,10,0,0,0
St Pierre Mique.,0.00,8,8,0,0,0
US Misc Pac,0.09,8,7,1,0,0
Andorra,0.00,7,7,0,0,0
Balleny Is.,0.15,7,6,0,1,0
Lesotho,0.75,7,3,2,1,1
Bon. Eust. Saba,0.16,6,5,1,0,0
Scott I.,0.00,5,5,0,0,0
Peter I I.,0.10,5,3,0,2,0
St Martin (FR),0.16,5,4,1,0,0
Chatham Is.,0.75,5,2,1,1,1
St Maarten (NL),0.00,4,4,0,0,0
Tajikistan,1.00,4,0,3,1,0
Adelaide I.,0.00,2,2,0,0,0
Glorieuses Is.,0.00,2,2,0,0,0
Juan de Nova I.,0.00,2,2,0,0,0
Europa I.,0.00,1,1,0,0,0
Jan Mayen I.,0.00,1,1,0,0,0
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,0.00,,,,,
,1.00,,,,,
,0.42,,,,,
,0.181759891,,,,,
